p_code,p_name,p_day,rev_25,hc_25,rev_26,hc_26,rev_diff,rev_pct,status,pday_bucket
33211,"<span style=""color:#DF0174;""><strong>[LAS출발]</strong></span> 4대캐년 2박3일(LAS IN/OUT)",3,0.0,0.0,5205.37,5.0,5205.37,100.0,신규(올해만),2~3박
33330,"<span style=""color:#B8860B;""><strong>[타지역출발]</strong></span>7대캐년+세도나 3박4일(라스베가스 IN/OUT)",4,23437.79,25.0,0.0,0.0,-23437.79,-100.0,단종(작년만),2~3박
33330,"<span style=""color:#DF0174;""><strong>[LAS출발]</strong></span>7대캐년+세도나 3박4일(LAS IN/OUT)",4,0.0,0.0,5094.0,6.0,5094.0,100.0,신규(올해만),2~3박
91512,코스타리카 골프 5박6일,6,8510.92,4.0,0.0,0.0,-8510.92,-100.0,단종(작년만),4박+
91515,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span>코스타리카 5박7일",7,84793.51000000001,47.0,7552.52,4.0,-77240.99,-91.09304473891928,동시운영,4박+
91534,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span> [잉카문명의 중심] 페루 7일",7,61784.32000000001,23.0,13185.259999999998,4.0,-48599.06000000001,-78.6592132113779,동시운영,4박+
91602,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span> 올랜도 2박3일",3,2293.94,2.0,0.0,0.0,-2293.94,-100.0,단종(작년만),2~3박
91604,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span> 올랜도 4박5일",5,0.0,0.0,7064.0,4.0,7064.0,100.0,신규(올해만),4박+
91613," <span style=""color:#014099;""><strong>[전지역출발]</strong></span> 마이애미 3박4일",4,22105.54,20.0,0.0,0.0,-22105.54,-100.0,단종(작년만),2~3박
INC1111,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 온라인 홈쇼핑 단독 PTY - 금출발",9,369448.0,313.0,360352.0,334.0,-9096.0,-2.4620514930382624,동시운영,4박+
INC1113,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span>멕시코 크루즈 7박8일",8,0.0,0.0,3578.42,2.0,3578.42,100.0,신규(올해만),4박+
INC1144,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부]온라인 홈쇼핑 단독 PTY - 월출발",10,128779.0,88.0,0.0,19.0,-128779.0,-100.0,단종(작년만),4박+
INC1218,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>미서부 호텔 ONLY",1,4332.46,11.0,0.0,0.0,-4332.46,-100.0,단종(작년만),당일
INC1265,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>KOREA TOUR 9DAY",9,6676.0,4.0,0.0,0.0,-6676.0,-100.0,단종(작년만),4박+
INC1716,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[동부]2024한진관광단독-리틀프랑스 미동캐 8박 10일",9,54630.0,19.0,0.0,0.0,-54630.0,-100.0,단종(작년만),4박+
INC1737,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부]  25-0106 대구아메리카 원주관 개관식 ",5,0.0,22.0,0.0,0.0,0.0,0.0,동시운영,4박+
INC1939,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 25-0106 대구아메리카 CES 한국 생산성본부 EXCALIBUR ",6,0.0,14.0,0.0,0.0,0.0,0.0,동시운영,4박+
INC1962,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부]25-0116 미투어 경남고 ",9,0.0,13.0,0.0,0.0,0.0,0.0,동시운영,4박+
INC1971,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] CES 25-0107 현대글로비스",4,7426.13,1.0,0.0,0.0,-7426.13,-100.0,단종(작년만),2~3박
INC1984,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 2025 경기여고 포틀랜드/시애틀 07/22 4박5일",5,3170.0,2.0,0.0,0.0,-3170.0,-100.0,단종(작년만),4박+
INC1985,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 2025 경기여고 포틀랜드/시애틀 07/22 3박4일",4,1445.0,1.0,0.0,0.0,-1445.0,-100.0,단종(작년만),2~3박
INC1993,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 25-0106 CES 도로공사",6,0.0,3.0,0.0,0.0,0.0,0.0,동시운영,4박+
INC1995,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부]25-0105 SK 기자단",25,0.0,36.0,0.0,0.0,0.0,0.0,동시운영,4박+
INC1998,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 25-0117 미서부 7박9일 단독 PTY",9,0.0,4.0,0.0,0.0,0.0,0.0,동시운영,4박+
INC2002,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 25-0105 라스투어 / CES HTL ONLY ",7,8006.01,1.0,0.0,0.0,-8006.01,-100.0,단종(작년만),4박+
INC2004,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span>[서부] 25-0106 코스타리카 + 칸쿤 9박10일 단독 ",10,31004.24,8.0,0.0,0.0,-31004.24,-100.0,단종(작년만),4박+
INC2008,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] CES 25-0105 인터파크 제주대  A팀",7,0.0,17.0,0.0,0.0,0.0,0.0,동시운영,4박+
INC2009,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 25-0106 대구아메리카 한국생산성본부 VIP 의전 ",5,0.0,3.0,0.0,0.0,0.0,0.0,동시운영,4박+
INC2015,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] CES 25-0106 롯데 신부사장 ",2,0.0,3.0,0.0,0.0,0.0,0.0,동시운영,1박
INC2016,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] CES 25-0106 인터파크 제주다 B팀 ",7,0.0,9.0,0.0,0.0,0.0,0.0,동시운영,4박+
INC2017,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] CES 25-0105 SK 기자단 임원 ",5,0.0,3.0,0.0,0.0,0.0,0.0,동시운영,4박+
INC2018,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span>[서부] 25-0106 ces - KB 인원 PTY",5,0.0,1.0,0.0,0.0,0.0,0.0,동시운영,4박+
INC2019,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span>[서부] 25-0512 포토앤비디오 - AMERICA THE BEAUTIFUL 6일 단독",6,35470.0,16.0,0.0,0.0,-35470.0,-100.0,단종(작년만),4박+
INC2021,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span>[서부] 25-0517 이윤주 단독 - 시애틀 1박2일 ",2,5552.0,6.0,0.0,0.0,-5552.0,-100.0,단종(작년만),1박
